20161101|101 |0|1|18289|627|1050|832|262|429|21489|
20161101|101 |0|2|68431|2669|9340|1171|973|3442|86026|
20161101|101 |1|1|16885|716|1120|1186|329|1484|21720|
20161101|101 |1|2|66716|3209|9593|1714|1461|3484|86177|
20161101|190 |0|1|9132|617|1075|1026|277|184|12311|
20161101|190 |0|2|34503|2599|2901|1465|1370|1760|44598|
20161101|190 |1|1|8690|557|964|1253|438|749|12651|
20161101|190 |1|2|32596|2708|2885|1682|1624|1671|43166|
20161101|253 |0|1|14971|894|1545|1335|538|284|19567|
20161101|253 |0|2|67692|3162|2291|2127|2597|4254|82123|
20161101|253 |1|1|14177|822|1208|1493|771|1435|19906|
20161101|253 |1|2|61625|3151|2274|2229|3351|3893|76523|
20161101|254 |0|1|6996|447|724|934|765|244|10110|
20161101|254 |0|2|30531|1650|1358|898|2964|2193|39594|
20161101|254 |1|1|7324|522|783|894|680|877|11080|
20161101|254 |1|2|29455|1528|1220|766|2345|2087|37401|
20161101|651 |0|1|5774|188|254|215|99|189|6719|
20161101|651 |0|2|20975|642|1175|285|539|1330|24946|
20161101|651 |1|1|5722|221|334|209|107|568|7161|
20161101|651 |1|2|20952|663|1171|231|378|1337|24732|
20161101|685 |0|1|3783|433|981|1036|1159|112|7504|
20161101|685 |0|2|16656|1262|1504|763|2827|1046|24058|
20161101|685 |1|1|3492|433|862|885|703|349|6724|
20161101|685 |1|2|15933|1313|1482|767|2911|1039|23445|
20161102|101 |0|1|18384|607|967|846|304|400|21508|
20161102|101 |0|2|69952|2683|9655|1174|975|3363|87802|
20161102|101 |1|1|16991|694|1044|1109|367|1463|21668|
20161102|101 |1|2|66626|3292|9913|1706|1482|3443|86462|
20161102|190 |0|1|9051|735|944|1017|274|190|12211|
20161102|190 |0|2|34659|2642|2843|1490|1337|1706|44677|
20161102|190 |1|1|8601|617|891|1203|423|718|12453|
20161102|190 |1|2|32702|2798|2891|1701|1540|1636|43268|
20161102|253 |0|1|15059|860|1428|1256|505|297|19405|
20161102|253 |0|2|68207|3172|2327|2060|2474|4187|82427|
20161102|253 |1|1|14182|836|1182|1457|796|1466|19919|
20161102|253 |1|2|61551|3128|2306|2197|3242|3927|76351|
20161102|254 |0|1|6967|481|725|933|818|199|10123|
20161102|254 |0|2|30525|1728|1366|917|2999|2223|39758|
20161102|254 |1|1|7169|506|739|891|703|805|10813|
20161102|254 |1|2|29133|1483|1218|764|2237|2088|36923|
20161102|651 |0|1|5636|175|259|208|120|156|6554|
20161102|651 |0|2|21159|644|1227|251|708|1292|25281|
20161102|651 |1|1|5513|200|359|203|106|542|6923|
20161102|651 |1|2|20870|680|1139|213|674|1291|24867|
20161102|685 |0|1|3812|395|962|959|1121|129|7378|
20161102|685 |0|2|16144|1216|1480|732|2842|1032|23446|
20161102|685 |1|1|3565|443|781|925|727|375|6816|
20161102|685 |1|2|15380|1311|1346|776|2928|1069|22810|
20161103|101 |0|1|20276|697|1079|822|293|386|23553|
20161103|101 |0|2|69252|2644|9485|1150|893|3292|86716|
20161103|101 |1|1|18017|707|1059|1072|345|1438|22638|
20161103|101 |1|2|69610|3256|9883|1730|1413|3376|89268|
20161103|190 |0|1|9473|651|930|1034|309|181|12578|
20161103|190 |0|2|35664|2602|2858|1462|1447|1732|45765|
20161103|190 |1|1|8675|540|855|1173|417|711|12371|
20161103|190 |1|2|31804|2710|2775|1592|1510|1648|42039|
20161103|253 |0|1|15522|886|1447|1187|522|293|19857|
20161103|253 |0|2|66467|3045|2197|1895|2292|4168|80064|
