집계일자,영업소코드,입출구구분코드,TCS하이패스구분코드,1종교통량,2종교통량,3종교통량,4종교통량,5종교통량,6종교통량,총교통량,
20210901,101 ,0,1,7738,218,569,429,86,135,9175,
20210901,101 ,0,2,71552,2484,6945,1901,958,3067,86907,
20210901,101 ,1,1,7245,285,415,518,116,748,9327,
20210901,101 ,1,2,73126,2863,7294,2346,1261,3132,90022,
20210901,190 ,0,1,4608,249,829,641,115,83,6525,
20210901,190 ,0,2,46501,3031,2056,2016,1548,2022,57174,
20210901,190 ,1,1,4749,258,618,683,128,476,6912,
20210901,190 ,1,2,44802,3055,2085,2296,1823,1997,56058,
20210901,253 ,0,1,7526,263,859,727,137,141,9653,
20210901,253 ,0,2,72059,2636,1933,2491,2331,3751,85201,
20210901,253 ,1,1,6610,252,731,767,177,772,9309,
20210901,253 ,1,2,68236,2707,1997,2773,2764,3532,82009,
20210901,254 ,0,1,3460,187,671,698,228,58,5302,
20210901,254 ,0,2,32988,1734,906,1405,2869,1963,41865,
20210901,254 ,1,1,3470,199,567,586,213,431,5466,
20210901,254 ,1,2,32625,1611,879,1166,2570,1878,40729,
20210901,651 ,0,1,3543,59,218,126,21,48,4015,
20210901,651 ,0,2,29150,730,724,514,454,1534,33106,
20210901,651 ,1,1,3224,67,192,127,19,376,4005,
20210901,651 ,1,2,28847,709,704,522,412,1522,32716,
20210901,685 ,0,1,2388,159,680,704,329,47,4307,
20210901,685 ,0,2,18992,1246,1065,1287,3500,947,27037,
20210901,685 ,1,1,2173,227,614,605,284,247,4150,
20210901,685 ,1,2,19725,1368,1008,1187,3539,1022,27849,
20210902,101 ,0,1,8707,253,593,448,81,142,10224,
20210902,101 ,0,2,77523,2644,7002,1935,1038,3228,93370,
20210902,101 ,1,1,7785,327,486,649,145,800,10192,
20210902,101 ,1,2,78405,3080,7430,2437,1431,3396,96179,
20210902,190 ,0,1,5274,275,980,729,132,101,7491,
20210902,190 ,0,2,53180,3235,2199,2066,1971,2192,64843,
20210902,190 ,1,1,5421,271,716,755,159,578,7900,
20210902,190 ,1,2,51091,3161,2225,2468,2167,2175,63287,
20210902,253 ,0,1,8081,303,985,771,163,162,10465,
20210902,253 ,0,2,77190,2900,1981,2641,2640,3809,91161,
20210902,253 ,1,1,7060,314,771,791,183,842,9961,
20210902,253 ,1,2,73399,2942,1973,2918,3108,3686,88026,
20210902,254 ,0,1,3587,213,675,690,287,66,5518,
20210902,254 ,0,2,34187,1773,946,1376,3122,1956,43360,
20210902,254 ,1,1,3693,209,606,670,271,444,5893,
20210902,254 ,1,2,35004,1635,903,1191,2927,1989,43649,
20210902,651 ,0,1,4200,93,236,147,29,56,4761,
20210902,651 ,0,2,32888,840,789,574,492,1557,37140,
20210902,651 ,1,1,3569,90,239,142,22,442,4504,
20210902,651 ,1,2,31157,781,761,545,452,1613,35309,
20210902,685 ,0,1,2656,192,801,772,386,41,4848,
20210902,685 ,0,2,19127,1364,1113,1317,4198,936,28055,
20210902,685 ,1,1,2410,236,695,713,293,264,4611,
20210902,685 ,1,2,20824,1531,1038,1323,4226,1083,30025,
20210903,101 ,0,1,10228,243,594,503,123,170,11861,
20210903,101 ,0,2,82602,2604,7380,1887,1088,3198,98759,
20210903,101 ,1,1,8398,302,519,646,196,917,10978,
20210903,101 ,1,2,81871,3026,7831,2359,1529,3365,99981,
20210903,190 ,0,1,6364,317,989,701,134,102,8607,
20210903,190 ,0,2,64080,3212,2161,2053,2073,2527,76106,
20210903,190 ,1,1,6219,306,708,768,156,647,8804,
20210903,190 ,1,2,57034,3253,2192,2534,2295,2428,69736,
20210903,253 ,0,1,9238,327,930,700,209,171,11575,
20210903,253 ,0,2,86132,2811,1498,2051,2672,4106,99270,
20210903,253 ,1,1,8228,341,820,859,227,1017,11492,
20210903,253 ,1,2,82346,3024,1548,2419,3458,4155,96950,
20210903,254 ,0,1,4228,205,670,722,253,78,6156,
20210903,254 ,0,2,38231,1845,963,1339,3088,2055,47521,
20210903,254 ,1,1,3692,184,543,675,223,429,5746,
20210903,254 ,1,2,34627,1561,786,1079,2681,1974,42708,
20210903,651 ,0,1,5363,79,221,152,29,64,5908,
20210903,651 ,0,2,44432,841,789,536,537,1834,48969,
20210903,651 ,1,1,4174,98,233,157,53,496,5211,
20210903,651 ,1,2,34098,763,759,532,409,1696,38257,
20210903,685 ,0,1,3330,197,797,755,381,59,5519,
20210903,685 ,0,2,23879,1310,1011,1226,3991,1097,32514,
20210903,685 ,1,1,2819,248,748,709,365,307,5196,
20210903,685 ,1,2,23308,1468,1015,1324,4111,1129,32355,
20210904,101 ,0,1,10733,127,328,217,57,104,11566,
20210904,101 ,0,2,80712,1450,5555,1196,618,2526,92057,
20210904,101 ,1,1,10048,196,257,381,56,886,11824,
20210904,101 ,1,2,81100,1882,5760,1648,920,2763,94073,
