집계일자,영업소코드,입출구구분코드,TCS하이패스구분코드,1종교통량,2종교통량,3종교통량,4종교통량,5종교통량,6종교통량,총교통량,
20220701,101 ,0,1,8477,183,453,343,64,119,9639,
20220701,101 ,0,2,84367,2441,8309,1764,809,3386,101076,
20220701,101 ,1,1,7386,248,357,477,69,813,9350,
20220701,101 ,1,2,83535,2741,8737,2188,1099,3489,101789,
20220701,190 ,0,1,4990,216,713,524,89,79,6611,
20220701,190 ,0,2,63249,3051,2170,1834,1327,2553,74184,
20220701,190 ,1,1,5269,236,540,617,108,556,7326,
20220701,190 ,1,2,56099,3048,2181,2096,1490,2330,67244,
20220701,253 ,0,1,7993,170,742,507,152,103,9667,
20220701,253 ,0,2,84622,2607,1715,2120,2127,4060,97251,
20220701,253 ,1,1,7042,244,665,626,149,900,9626,
20220701,253 ,1,2,81683,2793,1789,2481,2593,4027,95366,
20220701,254 ,0,1,3490,188,605,559,236,61,5139,
20220701,254 ,0,2,37734,1680,1000,1414,2911,2045,46784,
20220701,254 ,1,1,3375,164,504,600,226,403,5272,
20220701,254 ,1,2,36609,1551,916,1233,2654,1947,44910,
20220701,651 ,0,1,4883,69,164,130,24,52,5322,
20220701,651 ,0,2,46181,721,893,520,424,1829,50568,
20220701,651 ,1,1,3551,86,178,126,30,432,4403,
20220701,651 ,1,2,34575,772,915,548,385,1639,38834,
20220701,685 ,0,1,2496,165,700,598,252,39,4250,
20220701,685 ,0,2,24029,1287,1199,1415,3818,1167,32915,
20220701,685 ,1,1,2387,211,638,604,251,288,4379,
20220701,685 ,1,2,21915,1309,1050,1248,3604,1078,30204,
20220702,101 ,0,1,9383,138,315,162,36,80,10114,
20220702,101 ,0,2,83931,1533,7749,1087,572,2786,97658,
20220702,101 ,1,1,8681,209,238,286,47,883,10344,
20220702,101 ,1,2,81790,1898,7885,1484,824,2912,96793,
20220702,190 ,0,1,5823,122,356,190,50,58,6599,
20220702,190 ,0,2,64457,1328,1511,779,709,2131,70915,
20220702,190 ,1,1,6096,163,272,298,49,608,7486,
20220702,190 ,1,2,58815,1426,1631,1134,921,2068,65995,
20220702,253 ,0,1,9208,102,385,224,85,67,10071,
20220702,253 ,0,2,82474,1265,919,897,1679,3321,90555,
20220702,253 ,1,1,8356,141,359,349,94,980,10279,
20220702,253 ,1,2,79941,1337,937,1179,2040,3412,88846,
20220702,254 ,0,1,4478,112,254,238,94,45,5221,
20220702,254 ,0,2,40733,726,634,665,1232,1927,45917,
20220702,254 ,1,1,4001,83,276,286,98,478,5222,
20220702,254 ,1,2,39332,777,607,672,1270,1853,44511,
20220702,651 ,0,1,5499,54,74,90,27,38,5782,
20220702,651 ,0,2,46261,431,823,316,251,1622,49704,
20220702,651 ,1,1,4343,59,104,74,13,450,5043,
20220702,651 ,1,2,41201,427,896,277,216,1506,44523,
20220702,685 ,0,1,3293,63,286,243,156,27,4068,
20220702,685 ,0,2,25280,438,782,607,2072,992,30171,
20220702,685 ,1,1,2986,90,233,300,124,328,4061,
20220702,685 ,1,2,22892,465,673,654,2159,939,27782,
20220703,101 ,0,1,8953,80,185,130,19,82,9449,
20220703,101 ,0,2,80908,883,5954,876,241,2726,91588,
20220703,101 ,1,1,8732,115,128,165,24,784,9948,
20220703,101 ,1,2,78581,925,6465,1139,338,2611,90059,
20220703,190 ,0,1,4673,73,257,161,13,32,5209,
20220703,190 ,0,2,53120,760,1386,591,287,1817,57961,
20220703,190 ,1,1,6132,74,133,171,39,521,7070,
20220703,190 ,1,2,59674,558,1227,732,252,1815,64258,
20220703,253 ,0,1,8442,52,200,109,22,42,8867,
20220703,253 ,0,2,74392,705,530,504,1136,3304,80571,
20220703,253 ,1,1,7826,83,115,158,30,816,9028,
20220703,253 ,1,2,74224,635,552,565,1071,2977,80024,
