집계일자,영업소코드,입출구구분코드,TCS하이패스구분코드,1종교통량,2종교통량,3종교통량,4종교통량,5종교통량,6종교통량,총교통량,
20130201,101 ,0,1,26374,1586,1820,1423,770,866,32839,
20130201,101 ,0,2,52442,1786,7656,0,0,2541,64425,
20130201,101 ,1,1,24766,1826,1706,2013,1013,1996,33320,
20130201,101 ,1,2,48448,1993,7633,3,2,2317,60396,
20130201,190 ,0,1,8307,1062,1316,1285,626,268,12864,
20130201,190 ,0,2,31349,1785,1832,0,0,1502,36468,
20130201,190 ,1,1,15541,1698,1726,1862,935,1263,23025,
20130201,190 ,1,2,31055,1799,1781,1,1,1585,36222,
20130201,253 ,0,1,21844,2172,2030,2249,1795,1029,31119,
20130201,253 ,0,2,49034,1771,675,1,0,3105,54586,
20130201,253 ,1,1,21179,2153,2121,2589,2313,2139,32494,
20130201,253 ,1,2,49319,1905,555,1,0,3085,54865,
20130201,254 ,0,1,13360,1786,1813,2305,4461,642,24367,
20130201,254 ,0,2,27198,1143,866,0,1,1924,31132,
20130201,254 ,1,1,14684,1841,1864,2414,4077,1463,26343,
20130201,254 ,1,2,29309,1273,997,0,2,2104,33685,
20130201,651 ,0,1,8100,320,251,295,214,413,9593,
20130201,651 ,0,2,14558,325,720,0,0,769,16372,
20130201,651 ,1,1,5953,336,330,250,184,596,7649,
20130201,651 ,1,2,11390,345,668,0,0,764,13167,
20130202,101 ,0,1,34249,1195,1332,836,623,885,39120,
20130202,101 ,0,2,52167,1239,7115,0,1,2099,62621,
20130202,101 ,1,1,30916,1412,1392,1459,808,2206,38193,
20130202,101 ,1,2,48566,1553,7102,0,1,1989,59211,
20130202,190 ,0,1,22103,1173,1300,1070,599,534,26779,
20130202,190 ,0,2,34258,1174,1902,0,0,1297,38631,
20130202,190 ,1,1,19912,1209,1224,1394,716,1394,25849,
20130202,190 ,1,2,31696,1200,1882,0,0,1258,36036,
20130202,253 ,0,1,28734,1404,1330,1511,1294,1235,35508,
20130202,253 ,0,2,48313,1126,428,0,2,2495,52364,
20130202,253 ,1,1,27169,1539,1382,1818,1613,2290,35811,
