집계일자,영업소코드,입출구구분코드,TCS하이패스구분코드,1종교통량,2종교통량,3종교통량,4종교통량,5종교통량,6종교통량,총교통량,
20130701,101 ,0,1,28958,1693,1728,1544,815,939,35677,
20130701,101 ,0,2,59681,1903,7243,0,0,2832,71659,
20130701,101 ,1,1,26259,1742,1796,1790,1150,2244,34981,
20130701,101 ,1,2,52607,2092,7282,0,0,2666,64647,
20130701,190 ,0,1,17982,1916,1986,1841,1103,560,25388,
20130701,190 ,0,2,36429,1920,1768,0,0,1732,41849,
20130701,190 ,1,1,16785,1746,1662,1863,1160,1258,24474,
20130701,190 ,1,2,32753,1917,1718,2,3,1695,38088,
20130701,253 ,0,1,25636,2320,2235,2500,1997,1048,35736,
20130701,253 ,0,2,57599,1977,451,1,3,3574,63605,
20130701,253 ,1,1,22717,2269,2140,2464,2404,2305,34299,
20130701,253 ,1,2,52344,2121,527,0,3,3324,58319,
20130701,254 ,0,1,12277,1481,1282,1639,3335,630,20644,
20130701,254 ,0,2,25784,1105,631,1,0,1946,29467,
20130701,254 ,1,1,13233,1442,1340,1379,2693,1367,21454,
20130701,254 ,1,2,26054,1113,616,0,0,1951,29734,
20130701,651 ,0,1,9432,439,369,312,314,397,11263,
20130701,651 ,0,2,15968,396,779,0,1,935,18079,
20130701,651 ,1,1,9748,402,402,317,276,881,12026,
20130701,651 ,1,2,17130,446,691,0,2,1034,19303,
20130701,685 ,0,1,5793,899,1161,1476,2954,226,12509,
20130701,685 ,0,2,13998,726,755,0,0,784,16263,
20130701,685 ,1,1,4664,914,932,1175,2557,378,10620,
20130701,685 ,1,2,11030,687,725,0,0,711,13153,
20130702,101 ,0,1,22576,1473,1729,1438,679,758,28653,
20130702,101 ,0,2,50178,1818,7021,0,0,2574,61591,
20130702,101 ,1,1,21689,1685,1853,1989,1065,1870,30151,
20130702,101 ,1,2,47252,2086,7049,0,0,2419,58806,
20130702,190 ,0,1,13432,1604,1938,1664,929,412,19979,
20130702,190 ,0,2,28761,1876,1647,1,2,1452,33739,
20130702,190 ,1,1,13553,1633,1659,2043,1093,1050,21031,
20130702,190 ,1,2,28052,1849,1658,1,1,1432,32993,
20130702,253 ,0,1,20220,1993,2232,2355,1800,857,29457,
20130702,253 ,0,2,49568,1903,486,0,0,3207,55164,
20130702,253 ,1,1,19549,1995,2125,2505,2375,1975,30524,
20130702,253 ,1,2,47754,1982,494,0,0,3159,53389,
20130702,254 ,0,1,9969,1204,1178,1512,3160,493,17516,
20130702,254 ,0,2,22932,1053,622,0,1,1803,26411,
