집계일자,영업소코드,입출구구분코드,TCS하이패스구분코드,1종교통량,2종교통량,3종교통량,4종교통량,5종교통량,6종교통량,총교통량,
20201101,101 ,0,1,12243,105,263,161,27,99,12898,
20201101,101 ,0,2,73123,864,5185,734,239,2545,82690,
20201101,101 ,1,1,12383,154,192,233,33,1049,14044,
20201101,101 ,1,2,75071,842,5692,1000,299,2613,85517,
20201101,190 ,0,1,8466,110,260,170,43,86,9135,
20201101,190 ,0,2,49764,713,1309,525,351,1737,54399,
20201101,190 ,1,1,8807,98,147,185,49,747,10033,
20201101,190 ,1,2,54044,500,1110,625,360,1659,58298,
20201101,253 ,0,1,11036,90,227,163,35,93,11644,
20201101,253 ,0,2,67450,635,501,420,427,2917,72350,
20201101,253 ,1,1,11811,92,115,201,41,1067,13327,
20201101,253 ,1,2,70134,531,461,443,443,2774,74786,
20201101,254 ,0,1,5239,45,127,115,36,40,5602,
20201101,254 ,0,2,31630,348,363,237,293,1506,34377,
20201101,254 ,1,1,5357,48,78,94,23,588,6188,
20201101,254 ,1,2,31879,293,382,199,244,1501,34498,
20201101,651 ,0,1,5242,34,68,32,10,80,5466,
20201101,651 ,0,2,31594,164,670,96,104,1131,33759,
20201101,651 ,1,1,6771,34,68,67,13,620,7573,
20201101,651 ,1,2,40637,203,577,125,85,1372,42999,
20201101,685 ,0,1,4166,53,87,97,56,39,4498,
20201101,685 ,0,2,21738,227,485,179,490,939,24058,
20201101,685 ,1,1,4030,40,70,83,39,376,4638,
20201101,685 ,1,2,23369,203,441,192,470,807,25482,
20201102,101 ,0,1,11035,268,616,483,108,187,12697,
20201102,101 ,0,2,78404,2532,7236,1688,934,3363,94157,
20201102,101 ,1,1,9981,317,528,624,145,1005,12600,
20201102,101 ,1,2,77876,2840,7500,1967,1399,3363,94945,
20201102,190 ,0,1,7781,317,958,887,178,122,10243,
20201102,190 ,0,2,53121,2838,2185,2056,2015,2280,64495,
20201102,190 ,1,1,7249,322,707,724,211,717,9930,
20201102,190 ,1,2,47755,2706,2171,1970,2185,2139,58926,
20201102,253 ,0,1,10153,314,946,829,172,172,12586,
20201102,253 ,0,2,76084,2594,1821,2224,2213,3944,88880,
20201102,253 ,1,1,9591,368,750,868,259,1084,12920,
20201102,253 ,1,2,70237,2728,1954,2381,2782,3706,83788,
20201102,254 ,0,1,4707,208,717,804,278,93,6807,
20201102,254 ,0,2,36450,1817,1042,1278,3198,2308,46093,
20201102,254 ,1,1,4565,239,648,613,245,583,6893,
20201102,254 ,1,2,33220,1527,894,908,2607,1997,41153,
20201102,651 ,0,1,4860,105,216,124,22,101,5428,
20201102,651 ,0,2,30930,695,800,420,554,1661,35060,
20201102,651 ,1,1,4698,120,209,137,36,514,5714,
20201102,651 ,1,2,32118,684,780,429,472,1775,36258,
20201102,685 ,0,1,3818,238,828,772,486,61,6203,
20201102,685 ,0,2,19210,1215,980,1118,3652,959,27134,
20201102,685 ,1,1,2715,269,705,684,344,267,4984,
20201102,685 ,1,2,19194,1334,991,1078,3637,1070,27304,
20201103,101 ,0,1,10298,262,702,552,120,166,12100,
20201103,101 ,0,2,75792,2734,7273,1888,1127,3322,92136,
20201103,101 ,1,1,9544,347,556,752,175,975,12349,
20201103,101 ,1,2,75338,3125,7557,2461,1717,3368,93566,
20201103,190 ,0,1,7132,351,1026,882,161,133,9685,
20201103,190 ,0,2,50509,2962,2327,2075,2199,2116,62188,
20201103,190 ,1,1,7040,347,867,962,204,642,10062,
20201103,190 ,1,2,45774,2944,2258,2407,2446,2038,57867,
20201103,253 ,0,1,9303,366,1117,874,203,179,12042,
20201103,253 ,0,2,72852,2828,2043,2494,2439,3963,86619,
20201103,253 ,1,1,9192,394,869,1102,272,1009,12838,
20201103,253 ,1,2,69200,3002,2094,2904,3144,3700,84044,
20201103,254 ,0,1,3901,228,688,780,299,73,5969,
20201103,254 ,0,2,31800,1748,1042,1249,3110,1949,40898,
20201103,254 ,1,1,4541,230,695,816,291,565,7138,
20201103,254 ,1,2,34692,1711,1005,1237,2810,2108,43563,
20201103,651 ,0,1,4563,87,229,164,37,97,5177,
20201103,651 ,0,2,30317,723,803,506,614,1602,34565,
20201103,651 ,1,1,4357,86,253,164,26,505,5391,
20201103,651 ,1,2,29909,746,797,470,522,1687,34131,
20201103,685 ,0,1,3275,258,899,842,477,64,5815,
20201103,685 ,0,2,19152,1318,1089,1372,3916,988,27835,
20201103,685 ,1,1,2700,271,747,767,347,326,5158,
20201103,685 ,1,2,19045,1441,1058,1206,3696,1071,27517,
20201104,101 ,0,1,10314,265,717,565,134,188,12183,
20201104,101 ,0,2,76316,2596,7238,1840,1052,3367,92409,
20201104,101 ,1,1,9365,350,564,774,158,895,12106,
20201104,101 ,1,2,75847,3037,7624,2386,1594,3297,93785,
20201104,190 ,0,1,7041,325,1049,848,186,125,9574,
20201104,190 ,0,2,50265,2986,2261,2131,2038,2129,61810,
20201104,190 ,1,1,6985,332,812,889,194,636,9848,
20201104,190 ,1,2,47730,2977,2242,2410,2380,2140,59879,
20201104,253 ,0,1,9653,395,1105,821,215,201,12390,
20201104,253 ,0,2,74520,2873,2000,2475,2481,3962,88311,
20201104,253 ,1,1,9038,371,856,1011,295,1012,12583,
20201104,253 ,1,2,67967,2867,1959,2763,2993,3565,82114,
20201104,254 ,0,1,3777,236,665,778,290,83,5829,
20201104,254 ,0,2,31678,1653,980,1243,3091,2030,40675,
20201104,254 ,1,1,4453,243,705,789,258,549,6997,
20201104,254 ,1,2,34088,1622,953,1155,2811,2064,42693,
20201104,651 ,0,1,4336,91,242,173,33,73,4948,
20201104,651 ,0,2,29671,751,841,486,612,1586,33947,
20201104,651 ,1,1,4160,99,270,149,37,431,5146,
20201104,651 ,1,2,29775,717,816,455,548,1667,33978,
20201104,685 ,0,1,2908,387,886,838,521,51,5591,
20201104,685 ,0,2,19542,1300,1114,1292,3866,1041,28155,
20201104,685 ,1,1,2609,283,759,723,368,310,5052,
20201104,685 ,1,2,18970,1401,1018,1244,3745,1036,27414,
20201105,101 ,0,1,10770,254,711,560,116,166,12577,
20201105,101 ,0,2,77201,2662,7321,1832,1139,3291,93446,
20201105,101 ,1,1,9729,352,577,747,174,993,12572,
20201105,101 ,1,2,76912,3009,7687,2381,1674,3346,95009,
20201105,190 ,0,1,7369,344,1073,870,155,137,9948,
20201105,190 ,0,2,52608,2983,2299,2070,2068,2178,64206,
20201105,190 ,1,1,7204,339,811,847,183,691,10075,
20201105,190 ,1,2,48804,2917,2280,2377,2331,2149,60858,
20201105,253 ,0,1,9469,345,1055,877,178,167,12091,
20201105,253 ,0,2,73524,2810,2058,2458,2479,3821,87150,
20201105,253 ,1,1,9240,399,825,1006,252,1021,12743,
20201105,253 ,1,2,69701,2884,2101,2720,2959,3660,84025,
20201105,254 ,0,1,4211,257,736,815,319,79,6417,
20201105,254 ,0,2,33565,1801,1068,1337,3439,2015,43225,
20201105,254 ,1,1,4464,273,635,784,322,513,6991,
20201105,254 ,1,2,34170,1661,997,1220,2990,2040,43078,
20201105,651 ,0,1,4646,96,240,191,39,88,5300,
20201105,651 ,0,2,31394,814,845,489,596,1649,35787,
20201105,651 ,1,1,4173,117,240,153,42,455,5180,
20201105,651 ,1,2,30245,765,812,479,496,1641,34438,
20201105,685 ,0,1,2820,201,719,766,432,56,4994,
20201105,685 ,0,2,18991,1292,989,1200,3657,1025,27154,
20201105,685 ,1,1,2703,290,710,749,421,330,5203,
20201105,685 ,1,2,19591,1373,927,1144,3592,1041,27668,
20201106,101 ,0,1,11752,274,662,516,140,170,13514,
20201106,101 ,0,2,80372,2543,7757,1809,1060,3302,96843,
20201106,101 ,1,1,10302,345,538,710,175,981,13051,
20201106,101 ,1,2,79627,2968,8303,2355,1610,3337,98200,
20201106,190 ,0,1,8776,329,975,806,162,131,11179,
20201106,190 ,0,2,60773,2828,2301,1938,2034,2394,72268,
20201106,190 ,1,1,7952,319,763,794,222,801,10851,
20201106,190 ,1,2,52592,2792,2254,2198,2200,2332,64368,
20201106,253 ,0,1,11092,369,1026,775,172,200,13634,
20201106,253 ,0,2,84995,2818,2042,2314,2519,4252,98940,
20201106,253 ,1,1,10591,384,834,889,264,1211,14173,
20201106,253 ,1,2,78958,2876,1948,2643,3183,4150,93758,
20201106,254 ,0,1,4357,215,667,730,415,81,6465,
20201106,254 ,0,2,34581,1624,956,1072,2697,1958,42888,
20201106,254 ,1,1,4760,231,647,754,317,578,7287,
20201106,254 ,1,2,36240,1544,951,1103,2553,2082,44473,
20201106,651 ,0,1,6006,87,203,149,33,108,6586,
20201106,651 ,0,2,41371,772,871,504,492,1843,45853,
20201106,651 ,1,1,4583,99,234,125,32,509,5582,
20201106,651 ,1,2,32319,700,857,467,453,1736,36532,
20201106,685 ,0,1,3832,231,802,781,457,59,6162,
20201106,685 ,0,2,24737,1369,1118,1229,3704,1249,33406,
20201106,685 ,1,1,3047,252,709,705,405,327,5445,
20201106,685 ,1,2,21715,1472,1037,1135,3653,1158,30170,
20201107,101 ,0,1,13417,166,384,275,87,125,14454,
20201107,101 ,0,2,80309,1452,6527,1084,643,2682,92697,
20201107,101 ,1,1,12407,221,311,417,89,1143,14588,
20201107,101 ,1,2,80684,1841,6626,1396,949,2804,94300,
20201107,190 ,0,1,11916,197,438,307,105,99,13062,
20201107,190 ,0,2,59344,1194,1323,742,1027,2001,65631,
20201107,190 ,1,1,9036,178,352,384,97,836,10883,
20201107,190 ,1,2,57124,1396,1503,1151,1302,1929,64405,
20201107,253 ,0,1,13118,150,465,297,99,167,14296,
20201107,253 ,0,2,81080,1193,865,852,1478,3503,88971,
20201107,253 ,1,1,12024,189,378,453,129,1256,14429,
20201107,253 ,1,2,76462,1290,886,1102,1847,3393,84980,
20201107,254 ,0,1,6261,106,322,306,110,74,7179,
20201107,254 ,0,2,40652,765,655,512,1294,2009,45887,
20201107,254 ,1,1,5777,112,322,396,139,629,7375,
20201107,254 ,1,2,36327,731,608,572,1203,1816,41257,
20201107,651 ,0,1,7570,79,87,99,17,116,7968,
20201107,651 ,0,2,45220,375,695,271,258,1645,48464,
20201107,651 ,1,1,5752,65,124,85,18,549,6593,
20201107,651 ,1,2,35326,387,728,182,212,1349,38184,
20201107,685 ,0,1,4700,109,356,291,228,48,5732,
20201107,685 ,0,2,24535,430,619,457,2019,1021,29081,
20201107,685 ,1,1,3900,91,323,317,188,404,5223,
20201107,685 ,1,2,22730,499,618,555,2200,990,27592,
20201108,101 ,0,1,12939,116,254,181,34,111,13635,
20201108,101 ,0,2,78574,834,5369,757,285,2695,88514,
20201108,101 ,1,1,12454,155,187,280,65,1076,14217,
20201108,101 ,1,2,76984,823,5965,1035,353,2653,87813,
20201108,190 ,0,1,9088,112,279,196,30,72,9777,
20201108,190 ,0,2,53167,690,1260,580,562,1810,58069,
20201108,190 ,1,1,9434,89,148,206,43,755,10675,
