집계일자,영업소코드,입출구구분코드,TCS하이패스구분코드,1종교통량,2종교통량,3종교통량,4종교통량,5종교통량,6종교통량,총교통량,
20190301,101 ,0,1,17348,258,609,307,85,165,18772,
20190301,101 ,0,2,72999,1725,8757,927,554,2588,87550,
20190301,101 ,1,1,16089,348,754,553,120,1290,19154,
20190301,101 ,1,2,70748,2120,8281,1378,793,2648,85968,
20190301,190 ,0,1,13287,246,592,343,102,109,14679,
20190301,190 ,0,2,54485,1529,1945,705,814,1878,61356,
20190301,190 ,1,1,10580,258,501,516,126,887,12868,
20190301,190 ,1,2,49285,1573,2277,1227,1085,1845,57292,
20190301,253 ,0,1,15562,251,528,317,120,186,16964,
20190301,253 ,0,2,71199,1329,890,703,1309,3204,78634,
20190301,253 ,1,1,13926,284,521,483,154,1352,16720,
20190301,253 ,1,2,68039,1399,1010,974,1722,3139,76283,
20190301,254 ,0,1,7539,154,366,362,126,116,8663,
20190301,254 ,0,2,37910,831,1126,512,1099,1861,43339,
20190301,254 ,1,1,6953,154,309,372,136,759,8683,
20190301,254 ,1,2,33310,773,936,601,985,1764,38369,
20190301,651 ,0,1,9449,99,96,94,25,141,9904,
20190301,651 ,0,2,40942,402,928,154,192,1523,44141,
20190301,651 ,1,1,7485,107,171,64,16,699,8542,
20190301,651 ,1,2,33590,458,917,124,197,1427,36713,
20190301,685 ,0,1,5745,95,374,319,168,75,6776,
20190301,685 ,0,2,21277,463,1022,455,1429,942,25588,
20190301,685 ,1,1,4547,112,359,343,186,447,5994,
20190301,685 ,1,2,20399,518,1270,517,1510,908,25122,
20190302,101 ,0,1,16830,208,421,215,65,178,17917,
20190302,101 ,0,2,70500,1366,7332,697,501,2567,82963,
20190302,101 ,1,1,16738,270,565,342,85,1402,19402,
20190302,101 ,1,2,72173,1725,7709,905,572,2827,85911,
20190302,190 ,0,1,11364,158,450,226,63,84,12345,
20190302,190 ,0,2,50535,1081,2020,474,672,1839,56621,
20190302,190 ,1,1,11842,186,306,286,54,1005,13679,
20190302,190 ,1,2,54503,1162,1998,544,655,2026,60888,
20190302,253 ,0,1,14838,247,403,268,91,206,16053,
20190302,253 ,0,2,66748,1030,797,545,1207,3018,73345,
20190302,253 ,1,1,14901,209,344,328,119,1392,17293,
20190302,253 ,1,2,69323,1096,849,599,1568,3022,76457,
20190302,254 ,0,1,6906,111,228,299,105,109,7758,
20190302,254 ,0,2,32749,626,949,385,1050,1650,37409,
20190302,254 ,1,1,7205,117,243,275,116,771,8727,
20190302,254 ,1,2,33120,603,881,369,993,1709,37675,
20190302,651 ,0,1,8313,73,86,58,7,136,8673,
20190302,651 ,0,2,37425,330,849,113,131,1577,40425,
20190302,651 ,1,1,8684,83,139,55,6,812,9779,
20190302,651 ,1,2,39974,352,763,93,129,1625,42936,
20190302,685 ,0,1,5596,63,300,241,161,69,6430,
20190302,685 ,0,2,23090,370,1181,338,1363,1006,27348,
20190302,685 ,1,1,5310,79,270,272,124,522,6577,
20190302,685 ,1,2,22931,386,1089,328,1335,955,27024,
20190303,101 ,0,1,16252,144,282,153,31,152,17014,
20190303,101 ,0,2,66963,813,6955,504,210,2602,78047,
20190303,101 ,1,1,15971,224,428,279,54,1346,18302,
20190303,101 ,1,2,67506,832,7513,855,327,2613,79646,
20190303,190 ,0,1,10204,109,215,169,23,103,10823,
20190303,190 ,0,2,45081,765,1938,407,219,1764,50174,
20190303,190 ,1,1,11626,107,171,169,42,922,13037,
20190303,190 ,1,2,52340,593,1781,464,226,1850,57254,
20190303,253 ,0,1,14596,162,232,138,48,178,15354,
20190303,253 ,0,2,64814,628,606,333,407,2938,69726,
20190303,253 ,1,1,14109,130,145,170,47,1363,15964,
20190303,253 ,1,2,64046,529,641,324,372,2737,68649,
