집계일자,영업소코드,입출구구분코드,TCS하이패스구분코드,1종교통량,2종교통량,3종교통량,4종교통량,5종교통량,6종교통량,총교통량,
20201002,101 ,0,1,11845,38,63,85,9,96,12136,
20201002,101 ,0,2,65326,531,4936,431,79,2117,73420,
20201002,101 ,1,1,12996,53,66,92,9,1141,14357,
20201002,101 ,1,2,72956,569,5178,493,86,2169,81451,
20201002,190 ,0,1,9260,60,114,57,7,80,9578,
20201002,190 ,0,2,48542,484,1068,229,72,1657,52052,
20201002,190 ,1,1,10473,51,58,62,10,881,11535,
20201002,190 ,1,2,59235,367,974,202,80,1816,62674,
20201002,253 ,0,1,12020,45,76,81,18,108,12348,
20201002,253 ,0,2,65811,402,313,188,287,2735,69736,
20201002,253 ,1,1,12819,48,53,90,23,1140,14173,
20201002,253 ,1,2,72601,352,295,177,285,2723,76433,
20201002,254 ,0,1,5377,23,69,55,14,60,5598,
20201002,254 ,0,2,30667,268,379,115,161,1342,32932,
20201002,254 ,1,1,5785,25,55,58,10,592,6525,
20201002,254 ,1,2,30054,219,333,107,123,1312,32148,
20201002,651 ,0,1,7408,16,12,26,3,81,7546,
20201002,651 ,0,2,39000,121,529,35,56,1354,41095,
20201002,651 ,1,1,7636,17,24,48,2,701,8428,
20201002,651 ,1,2,42597,118,534,25,46,1443,44763,
20201002,685 ,0,1,4576,30,61,41,27,54,4789,
20201002,685 ,0,2,21064,173,391,105,286,834,22853,
20201002,685 ,1,1,4897,27,54,67,22,509,5576,
20201002,685 ,1,2,25159,177,361,124,288,877,26986,
20201003,101 ,0,1,10556,83,129,81,16,68,10933,
20201003,101 ,0,2,62151,789,5340,542,134,2151,71107,
20201003,101 ,1,1,12706,135,115,127,13,1061,14157,
20201003,101 ,1,2,74788,923,5742,590,154,2443,84640,
20201003,190 ,0,1,7104,72,119,76,29,62,7462,
20201003,190 ,0,2,40201,631,1281,252,172,1422,43959,
20201003,190 ,1,1,10260,78,83,126,16,883,11446,
20201003,190 ,1,2,60237,691,1081,256,131,1759,64155,
20201003,253 ,0,1,10503,60,126,99,28,103,10919,
20201003,253 ,0,2,58983,492,408,241,355,2652,63131,
20201003,253 ,1,1,12690,68,99,126,25,1224,14232,
20201003,253 ,1,2,74141,507,417,273,419,2826,78583,
20201003,254 ,0,1,4655,40,80,69,27,53,4924,
20201003,254 ,0,2,27207,304,430,161,235,1269,29606,
20201003,254 ,1,1,5427,50,65,96,23,593,6254,
20201003,254 ,1,2,29650,297,422,140,198,1341,32048,
20201003,651 ,0,1,6642,27,33,25,6,82,6815,
20201003,651 ,0,2,36937,186,586,88,63,1308,39168,
20201003,651 ,1,1,8337,33,44,34,6,714,9168,
20201003,651 ,1,2,45674,174,561,59,49,1538,48055,
20201003,685 ,0,1,4100,29,85,94,69,42,4419,
20201003,685 ,0,2,18856,189,519,139,406,857,20966,
20201003,685 ,1,1,4625,29,103,116,35,463,5371,
20201003,685 ,1,2,25130,199,452,142,433,907,27263,
20201004,101 ,0,1,10758,79,209,150,15,76,11287,
20201004,101 ,0,2,63864,753,5353,715,279,2395,73359,
20201004,101 ,1,1,11110,127,148,195,30,1054,12664,
20201004,101 ,1,2,66147,743,5648,807,320,2356,76021,
20201004,190 ,0,1,7062,88,279,188,37,74,7728,
20201004,190 ,0,2,41197,700,1320,619,323,1531,45690,
20201004,190 ,1,1,8289,100,136,274,32,788,9619,
20201004,190 ,1,2,49473,515,1197,694,282,1619,53780,
20201004,253 ,0,1,9965,70,192,156,33,109,10525,
20201004,253 ,0,2,59231,567,416,428,451,2654,63747,
20201004,253 ,1,1,10374,68,112,179,25,997,11755,
20201004,253 ,1,2,61023,423,399,418,406,2582,65251,
20201004,254 ,0,1,4219,62,107,116,27,50,4581,
20201004,254 ,0,2,24348,304,313,209,258,1184,26616,
20201004,254 ,1,1,4396,51,69,79,20,496,5111,
20201004,254 ,1,2,24713,233,340,177,193,1199,26855,
20201004,651 ,0,1,4869,36,96,44,6,54,5105,
20201004,651 ,0,2,27960,162,606,110,79,1117,30034,
20201004,651 ,1,1,6749,33,47,79,13,660,7581,
20201004,651 ,1,2,41734,208,597,162,65,1518,44284,
20201004,685 ,0,1,4391,41,140,116,66,40,4794,
20201004,685 ,0,2,21035,200,544,236,467,994,23476,
20201004,685 ,1,1,3691,27,130,105,33,416,4402,
20201004,685 ,1,2,19576,210,479,185,438,834,21722,
20201005,101 ,0,1,10742,253,570,467,117,180,12329,
20201005,101 ,0,2,76779,2386,6887,1602,1190,3359,92203,
20201005,101 ,1,1,9730,313,477,504,173,972,12169,
20201005,101 ,1,2,73819,2653,7230,1821,1563,3335,90421,
20201005,190 ,0,1,7046,325,934,784,159,118,9366,
20201005,190 ,0,2,48786,2662,2118,1945,2173,2159,59843,
20201005,190 ,1,1,6694,304,676,779,182,685,9320,
20201005,190 ,1,2,44902,2510,2036,2000,2165,2075,55688,
20201005,253 ,0,1,9686,332,840,722,163,191,11934,
20201005,253 ,0,2,73189,2505,1871,2098,2242,3964,85869,
20201005,253 ,1,1,8547,339,779,773,223,954,11615,
20201005,253 ,1,2,66071,2571,1852,2259,2758,3644,79155,
20201005,254 ,0,1,4572,236,691,854,290,108,6751,
20201005,254 ,0,2,34943,1759,1002,1265,3091,2218,44278,
20201005,254 ,1,1,4530,250,610,701,326,542,6959,
20201005,254 ,1,2,31659,1374,815,799,2454,1983,39084,
20201005,651 ,0,1,4535,107,244,150,41,97,5174,
20201005,651 ,0,2,28681,663,736,434,665,1620,32799,
20201005,651 ,1,1,4285,100,205,168,45,507,5310,
20201005,651 ,1,2,30214,660,725,450,556,1739,34344,
20201005,685 ,0,1,3599,226,755,738,428,63,5809,
20201005,685 ,0,2,19489,1281,1018,1113,3606,1064,27571,
20201005,685 ,1,1,2688,263,686,678,290,308,4913,
20201005,685 ,1,2,18659,1351,1033,1050,3631,1053,26777,
20201006,101 ,0,1,10130,305,778,566,133,162,12074,
20201006,101 ,0,2,75172,2729,6977,1932,1283,3399,91492,
20201006,101 ,1,1,9363,368,622,793,161,976,12283,
20201006,101 ,1,2,75617,3160,7366,2372,1843,3391,93749,
20201006,190 ,0,1,6939,360,1126,903,202,124,9654,
20201006,190 ,0,2,49159,3164,2337,2164,2350,2143,61317,
20201006,190 ,1,1,6651,352,817,999,264,646,9729,
20201006,190 ,1,2,45511,3124,2285,2420,2515,2075,57930,
20201006,253 ,0,1,9180,377,1108,902,227,176,11970,
20201006,253 ,0,2,70756,2885,2045,2551,2707,3757,84701,
20201006,253 ,1,1,9019,433,970,1125,302,963,12812,
20201006,253 ,1,2,68616,3099,2130,3038,3545,3646,84074,
20201006,254 ,0,1,4494,288,847,910,366,109,7014,
20201006,254 ,0,2,35165,1939,1148,1498,3821,2217,45788,
20201006,254 ,1,1,4271,263,728,864,335,522,6983,
20201006,254 ,1,2,31362,1627,942,1186,3213,1953,40283,
20201006,651 ,0,1,4411,98,295,182,34,80,5100,
20201006,651 ,0,2,29551,767,770,490,762,1566,33906,
20201006,651 ,1,1,4272,111,260,166,32,446,5287,
20201006,651 ,1,2,29019,759,775,494,639,1619,33305,
20201006,685 ,0,1,2963,219,870,859,490,62,5463,
20201006,685 ,0,2,19403,1348,1048,1276,4251,1051,28377,
20201006,685 ,1,1,2456,275,772,766,416,288,4973,
20201006,685 ,1,2,18116,1430,1066,1206,4149,1032,26999,
20201007,101 ,0,1,10263,317,726,585,127,153,12171,
20201007,101 ,0,2,76573,2669,6934,1871,1262,3251,92560,
20201007,101 ,1,1,9804,384,620,756,196,1002,12762,
20201007,101 ,1,2,77495,3111,7318,2380,1899,3391,95594,
20201007,190 ,0,1,7002,400,1129,975,217,132,9855,
20201007,190 ,0,2,50011,3064,2419,2033,2431,2163,62121,
20201007,190 ,1,1,5781,340,745,975,236,570,8647,
20201007,190 ,1,2,41808,2700,2202,2323,2563,1833,53429,
20201007,253 ,0,1,9640,356,1174,943,214,217,12544,
20201007,253 ,0,2,73976,2988,2011,2475,2694,3988,88132,
20201007,253 ,1,1,8792,406,966,1033,243,959,12399,
20201007,253 ,1,2,70588,3093,2096,2917,3466,3819,85979,
20201007,254 ,0,1,4306,264,709,890,377,96,6642,
20201007,254 ,0,2,34499,1888,1036,1486,3601,2090,44600,
20201007,254 ,1,1,4258,256,700,849,335,546,6944,
20201007,254 ,1,2,32060,1642,903,1201,3096,1966,40868,
20201007,651 ,0,1,4475,106,271,174,36,86,5148,
20201007,651 ,0,2,29983,716,761,482,783,1583,34308,
20201007,651 ,1,1,3970,111,260,191,36,460,5028,
20201007,651 ,1,2,29657,713,752,463,676,1642,33903,
20201007,685 ,0,1,2864,229,809,836,519,58,5315,
20201007,685 ,0,2,18882,1335,1054,1320,4133,1117,27841,
20201007,685 ,1,1,2491,284,783,804,419,269,5050,
20201007,685 ,1,2,17836,1431,1006,1208,3947,983,26411,
20201008,101 ,0,1,11489,298,669,515,141,190,13302,
20201008,101 ,0,2,81100,2632,7331,1790,1267,3360,97480,
20201008,101 ,1,1,10224,354,588,736,179,1014,13095,
20201008,101 ,1,2,79960,2999,7796,2271,1778,3382,98186,
20201008,190 ,0,1,8462,396,1154,960,210,150,11332,
20201008,190 ,0,2,59193,2981,2375,2123,2261,2467,71400,
20201008,190 ,1,1,7063,352,751,894,225,726,10011,
20201008,190 ,1,2,51820,2982,2216,2615,2625,2286,64544,
20201008,253 ,0,1,11103,364,1069,942,223,231,13932,
20201008,253 ,0,2,82629,2884,2073,2485,2712,4213,96996,
20201008,253 ,1,1,9759,434,909,1030,271,1131,13534,
20201008,253 ,1,2,77004,3060,2074,2846,3463,3985,92432,
20201008,254 ,0,1,4468,237,739,826,366,105,6741,
20201008,254 ,0,2,36314,1862,1074,1395,3455,2145,46245,
20201008,254 ,1,1,4707,264,710,850,320,590,7441,
20201008,254 ,1,2,35904,1689,994,1299,3109,2186,45181,
20201008,651 ,0,1,5948,109,229,174,49,109,6618,
20201008,651 ,0,2,40597,782,841,476,727,1910,45333,
20201008,651 ,1,1,4672,140,221,199,49,514,5795,
20201008,651 ,1,2,32754,780,832,484,631,1805,37286,
20201008,685 ,0,1,3740,275,867,952,568,65,6467,
20201008,685 ,0,2,23594,1441,1076,1266,4193,1194,32764,
20201008,685 ,1,1,2755,291,784,815,412,314,5371,
20201008,685 ,1,2,20215,1509,1039,1248,4125,1055,29191,
20201009,101 ,0,1,12013,205,540,368,96,102,13324,
20201009,101 ,0,2,74922,1836,6113,1317,898,2415,87501,
20201009,101 ,1,1,10484,283,443,512,122,977,12821,
20201009,101 ,1,2,70819,2136,5798,1696,1271,2513,84233,
20201009,190 ,0,1,12762,268,680,526,173,98,14507,
20201009,190 ,0,2,50538,1544,1264,1026,1394,1612,57378,
