집계일자,영업소코드,입출구구분코드,TCS하이패스구분코드,1종교통량,2종교통량,3종교통량,4종교통량,5종교통량,6종교통량,총교통량,
20200501,101 ,0,1,13831,183,438,295,51,126,14924,
20200501,101 ,0,2,75549,1655,5250,1243,453,2568,86718,
20200501,101 ,1,1,12357,251,316,413,58,1193,14588,
20200501,101 ,1,2,73179,1939,5325,1502,542,2690,85177,
20200501,190 ,0,1,10761,155,435,347,68,105,11871,
20200501,190 ,0,2,61757,1528,1472,1004,638,2021,68420,
20200501,190 ,1,1,9020,190,350,390,94,793,10837,
20200501,190 ,1,2,52919,1594,1510,912,596,1913,59444,
20200501,253 ,0,1,13702,187,369,305,78,152,14793,
20200501,253 ,0,2,74280,1171,659,822,828,3053,80813,
20200501,253 ,1,1,12037,191,334,344,94,1224,14224,
20200501,253 ,1,2,69851,1258,669,870,931,3121,76700,
20200501,254 ,0,1,6184,103,282,265,96,77,7007,
20200501,254 ,0,2,34861,769,527,530,896,1691,39274,
20200501,254 ,1,1,5698,106,215,269,81,654,7023,
20200501,254 ,1,2,30989,655,467,432,787,1572,34902,
20200501,651 ,0,1,7480,56,99,78,14,101,7828,
20200501,651 ,0,2,41291,392,623,230,192,1511,44239,
20200501,651 ,1,1,7416,88,128,94,14,688,8428,
20200501,651 ,1,2,39830,459,591,212,156,1565,42813,
20200501,685 ,0,1,5331,71,255,236,134,61,6088,
20200501,685 ,0,2,25094,357,496,460,1076,1022,28505,
20200501,685 ,1,1,4272,65,244,228,87,431,5327,
20200501,685 ,1,2,21381,389,522,397,1036,910,24635,
20200502,101 ,0,1,13969,147,329,195,39,129,14808,
20200502,101 ,0,2,75689,1285,5147,869,368,2631,85989,
20200502,101 ,1,1,13630,209,240,326,68,1205,15678,
20200502,101 ,1,2,80116,1599,5382,1114,603,2750,91564,
20200502,190 ,0,1,11114,120,308,200,59,106,11907,
20200502,190 ,0,2,60124,1090,1202,497,625,2053,65591,
20200502,190 ,1,1,10368,159,227,264,47,859,11924,
20200502,190 ,1,2,59463,1159,1262,712,764,2057,65417,
20200502,253 ,0,1,13623,133,336,220,76,124,14512,
20200502,253 ,0,2,74170,871,580,542,1006,3110,80279,
20200502,253 ,1,1,12938,123,246,290,82,1202,14881,
20200502,253 ,1,2,76132,1031,579,695,1287,3087,82811,
20200502,254 ,0,1,6113,77,211,190,63,76,6730,
20200502,254 ,0,2,34815,544,496,378,811,1615,38659,
20200502,254 ,1,1,6019,98,183,254,58,636,7248,
20200502,254 ,1,2,32998,514,434,326,739,1622,36633,
20200502,651 ,0,1,7996,60,85,73,13,90,8317,
20200502,651 ,0,2,41912,318,637,177,214,1473,44731,
20200502,651 ,1,1,8112,77,143,64,15,750,9161,
20200502,651 ,1,2,44772,349,604,116,173,1586,47600,
20200502,685 ,0,1,5098,45,183,170,124,58,5678,
20200502,685 ,0,2,24417,267,444,255,1468,994,27845,
20200502,685 ,1,1,4900,42,169,186,97,470,5864,
20200502,685 ,1,2,25479,286,436,308,1480,982,28971,
20200503,101 ,0,1,12989,99,286,156,22,106,13658,
20200503,101 ,0,2,70193,763,4717,704,207,2369,78953,
20200503,101 ,1,1,14282,122,148,244,43,1249,16088,
20200503,101 ,1,2,80018,764,5143,1045,269,2615,89854,
20200503,190 ,0,1,9178,78,232,162,20,65,9735,
20200503,190 ,0,2,50702,652,1080,405,354,1708,54901,
20200503,190 ,1,1,10880,91,125,205,47,861,12209,
20200503,190 ,1,2,60132,473,987,539,376,1900,64407,
20200503,253 ,0,1,12363,67,197,154,36,124,12941,
20200503,253 ,0,2,66820,516,399,321,418,2938,71412,
20200503,253 ,1,1,13552,86,98,163,33,1278,15210,
20200503,253 ,1,2,76495,478,355,402,366,2959,81055,
20200503,254 ,0,1,5134,45,89,116,29,62,5475,
20200503,254 ,0,2,28338,316,314,201,257,1325,30751,
20200503,254 ,1,1,6057,43,73,95,22,677,6967,
20200503,254 ,1,2,31969,252,304,186,202,1435,34348,
20200503,651 ,0,1,7139,28,36,30,7,77,7317,
20200503,651 ,0,2,37960,141,548,83,82,1363,40177,
20200503,651 ,1,1,8061,33,53,77,10,717,8951,
20200503,651 ,1,2,45577,169,525,76,72,1584,48003,
20200503,685 ,0,1,5081,32,130,95,54,55,5447,
20200503,685 ,0,2,23371,174,428,177,810,986,25946,
20200503,685 ,1,1,5114,29,91,72,44,463,5813,
20200503,685 ,1,2,26684,156,329,168,781,934,29052,
20200504,101 ,0,1,12812,234,653,468,100,180,14447,
20200504,101 ,0,2,78121,2173,6368,1535,910,3390,92497,
20200504,101 ,1,1,12448,295,447,585,146,1252,15173,
20200504,101 ,1,2,83346,2525,6662,1806,1226,3446,99011,
20200504,190 ,0,1,8302,284,852,773,176,127,10514,
20200504,190 ,0,2,52784,2464,1897,1569,1791,2211,62716,
20200504,190 ,1,1,8797,313,620,699,176,879,11484,
20200504,190 ,1,2,54980,2440,1871,1455,1833,2223,64802,
20200504,253 ,0,1,11991,277,741,657,201,176,14043,
20200504,253 ,0,2,75857,2107,1140,1438,2164,3856,86562,
20200504,253 ,1,1,11208,327,634,623,254,1228,14274,
20200504,253 ,1,2,74601,2073,1099,1497,2777,3741,85788,
20200504,254 ,0,1,4975,206,557,635,244,91,6708,
20200504,254 ,0,2,31896,1257,753,943,2654,1882,39385,
20200504,254 ,1,1,5415,184,458,556,209,627,7449,
20200504,254 ,1,2,33841,1142,644,710,2189,1955,40481,
20200504,651 ,0,1,6613,87,176,119,30,101,7126,
20200504,651 ,0,2,38786,629,714,321,416,1701,42567,
20200504,651 ,1,1,6880,104,230,120,32,706,8072,
20200504,651 ,1,2,38329,574,688,280,356,1786,42013,
20200504,685 ,0,1,4369,143,651,660,361,65,6249,
20200504,685 ,0,2,23484,956,842,873,3075,1178,30408,
20200504,685 ,1,1,3700,164,530,554,293,402,5643,
20200504,685 ,1,2,22617,1015,836,752,2930,1096,29246,
20200505,101 ,0,1,11412,172,534,348,89,92,12647,
20200505,101 ,0,2,65731,1556,4892,1228,693,2281,76381,
20200505,101 ,1,1,10766,223,319,522,101,1021,12952,
20200505,101 ,1,2,65237,1721,5067,1654,861,2290,76830,
20200505,190 ,0,1,7250,184,530,404,95,68,8531,
20200505,190 ,0,2,42365,1581,1469,857,1264,1575,49111,
20200505,190 ,1,1,7715,163,366,527,103,684,9558,
20200505,190 ,1,2,46059,1475,1544,1348,1370,1576,53372,
20200505,253 ,0,1,10436,148,489,401,114,116,11704,
20200505,253 ,0,2,61372,1232,718,870,1609,2819,68620,
20200505,253 ,1,1,10116,140,341,389,145,1007,12138,
20200505,253 ,1,2,60243,1214,718,1118,2103,2589,67985,
20200505,254 ,0,1,4540,85,243,287,102,51,5308,
20200505,254 ,0,2,27045,647,515,451,1237,1372,31267,
20200505,254 ,1,1,4680,91,203,315,75,543,5907,
20200505,254 ,1,2,27280,567,455,475,1079,1359,31215,
20200505,651 ,0,1,5967,50,102,102,28,70,6319,
20200505,651 ,0,2,32507,409,648,224,414,1318,35520,
20200505,651 ,1,1,6680,59,117,104,28,616,7604,
20200505,651 ,1,2,37208,424,620,179,323,1341,40095,
20200505,685 ,0,1,3796,56,246,278,173,49,4598,
20200505,685 ,0,2,19008,420,538,444,1908,863,23181,
20200505,685 ,1,1,3330,69,197,274,118,332,4320,
20200505,685 ,1,2,17997,420,528,424,2000,779,22148,
20200506,101 ,0,1,11828,254,753,514,122,192,13663,
20200506,101 ,0,2,78378,2479,6646,1688,1008,3593,93792,
20200506,101 ,1,1,10596,321,571,670,157,1172,13487,
20200506,101 ,1,2,78919,2902,7003,2161,1498,3662,96145,
20200506,190 ,0,1,7731,323,1054,907,220,129,10364,
20200506,190 ,0,2,50364,2932,2131,1912,1893,2258,61490,
20200506,190 ,1,1,7262,307,830,843,268,697,10207,
20200506,190 ,1,2,47169,2861,2101,1796,1859,2258,58044,
20200506,253 ,0,1,10662,361,1006,823,199,224,13275,
20200506,253 ,0,2,73303,2608,1383,1752,2270,4017,85333,
20200506,253 ,1,1,9213,363,865,844,326,1114,12725,
20200506,253 ,1,2,68640,2779,1355,1848,3004,3904,81530,
20200506,254 ,0,1,4605,260,747,838,343,106,6899,
20200506,254 ,0,2,33689,1722,1029,1314,3304,2177,43235,
20200506,254 ,1,1,4654,257,654,674,265,573,7077,
20200506,254 ,1,2,32588,1435,837,896,2721,2098,40575,
20200506,651 ,0,1,4794,80,193,172,63,88,5390,
20200506,651 ,0,2,29113,700,742,399,544,1672,33170,
20200506,651 ,1,1,4739,97,248,181,55,544,5864,
20200506,651 ,1,2,30944,706,736,356,457,1799,34998,
20200506,685 ,0,1,3172,207,789,835,443,70,5516,
20200506,685 ,0,2,19807,1257,1015,1123,3708,1141,28051,
20200506,685 ,1,1,2761,269,735,727,344,309,5145,
20200506,685 ,1,2,18819,1351,998,999,3562,1079,26808,
20200507,101 ,0,1,11590,268,745,587,163,213,13566,
20200507,101 ,0,2,79014,2544,6633,1917,1086,3512,94706,
20200507,101 ,1,1,10600,359,591,868,208,1111,13737,
20200507,101 ,1,2,78838,2916,7022,2580,1637,3510,96503,
20200507,190 ,0,1,7800,328,1136,997,207,155,10623,
20200507,190 ,0,2,51105,2983,2178,2092,2061,2233,62652,
20200507,190 ,1,1,7634,335,844,1009,261,757,10840,
20200507,190 ,1,2,49500,3014,2194,2371,2277,2296,61652,
20200507,253 ,0,1,10642,344,1088,879,254,218,13425,
20200507,253 ,0,2,72517,2750,1454,1887,2577,3957,85142,
20200507,253 ,1,1,9770,357,934,975,356,1071,13463,
20200507,253 ,1,2,71075,2971,1563,2307,3413,3958,85287,
20200507,254 ,0,1,4769,260,806,890,411,113,7249,
20200507,254 ,0,2,34553,1793,1034,1363,3557,2203,44503,
20200507,254 ,1,1,4709,248,650,841,306,635,7389,
20200507,254 ,1,2,32935,1557,881,1141,2897,2127,41538,
20200507,651 ,0,1,4835,109,220,179,47,98,5488,
20200507,651 ,0,2,29865,776,769,436,636,1652,34134,
