집계일자,영업소코드,입출구구분코드,TCS하이패스구분코드,1종교통량,2종교통량,3종교통량,4종교통량,5종교통량,6종교통량,총교통량,
20200101,101 ,0,1,11126,113,233,120,34,104,11730,
20200101,101 ,0,2,60230,952,6133,646,211,2267,70439,
20200101,101 ,1,1,10855,160,217,225,30,948,12435,
20200101,101 ,1,2,56787,1136,6617,880,282,1994,67696,
20200101,190 ,0,1,8017,82,183,123,29,68,8502,
20200101,190 ,0,2,39384,989,1915,406,211,1564,44469,
20200101,190 ,1,1,7951,92,181,204,40,699,9167,
20200101,190 ,1,2,40689,864,1972,658,332,1457,45972,
20200101,253 ,0,1,11080,59,215,118,35,66,11573,
20200101,253 ,0,2,56555,696,607,322,376,2510,61066,
20200101,253 ,1,1,10017,91,160,179,38,990,11475,
20200101,253 ,1,2,54225,666,643,459,400,2235,58628,
20200101,254 ,0,1,4931,51,129,111,33,48,5303,
20200101,254 ,0,2,26574,424,756,250,347,1217,29568,
20200101,254 ,1,1,4928,51,100,150,23,533,5785,
20200101,254 ,1,2,25736,370,686,266,302,1282,28642,
20200101,651 ,0,1,6770,27,44,34,12,78,6965,
20200101,651 ,0,2,33370,204,909,87,72,1352,35994,
20200101,651 ,1,1,7255,35,84,40,3,607,8024,
20200101,651 ,1,2,38702,223,922,67,58,1450,41422,
20200101,685 ,0,1,4455,38,96,92,50,48,4779,
20200101,685 ,0,2,19125,210,954,178,447,818,21732,
20200101,685 ,1,1,3396,27,75,117,47,350,4012,
20200101,685 ,1,2,15718,189,1004,197,420,656,18184,
20200102,101 ,0,1,10809,251,688,451,115,184,12498,
20200102,101 ,0,2,73258,2422,8009,1427,873,3400,89389,
20200102,101 ,1,1,10266,325,542,619,147,1077,12976,
20200102,101 ,1,2,69250,2694,8273,1952,1152,3264,86585,
20200102,190 ,0,1,7573,343,942,804,162,126,9950,
20200102,190 ,0,2,44900,2723,2739,1679,1466,2192,55699,
20200102,190 ,1,1,6925,341,705,667,169,697,9504,
20200102,190 ,1,2,41994,2628,2675,1427,1515,2017,52256,
20200102,253 ,0,1,10507,292,865,696,177,149,12686,
20200102,253 ,0,2,69415,2326,1330,1476,1852,3816,80215,
20200102,253 ,1,1,8972,336,729,705,252,1018,12012,
20200102,253 ,1,2,62528,2520,1346,1554,2334,3548,73830,
20200102,254 ,0,1,4934,241,649,776,265,110,6975,
20200102,254 ,0,2,32126,1570,1189,1108,2604,2097,40694,
20200102,254 ,1,1,4872,217,578,596,220,595,7078,
20200102,254 ,1,2,30282,1354,1016,740,2234,1971,37597,
20200102,651 ,0,1,4713,86,177,113,32,105,5226,
20200102,651 ,0,2,25408,610,1041,300,343,1527,29229,
20200102,651 ,1,1,4739,96,245,128,19,555,5782,
20200102,651 ,1,2,27738,626,1027,294,304,1605,31594,
20200102,685 ,0,1,3381,179,722,699,431,60,5472,
20200102,685 ,0,2,19980,1162,1460,943,3244,1070,27859,
20200102,685 ,1,1,2741,205,648,606,363,305,4868,
20200102,685 ,1,2,17406,1223,1427,819,3088,994,24957,
20200103,101 ,0,1,10224,292,803,577,132,191,12219,
20200103,101 ,0,2,74382,2592,8811,1701,991,3432,91909,
20200103,101 ,1,1,10917,381,649,810,152,1119,14028,
20200103,101 ,1,2,73269,2967,9260,2285,1364,3490,92635,
20200103,190 ,0,1,8052,356,1092,827,192,119,10638,
20200103,190 ,0,2,47674,2864,2882,1873,1674,2159,59126,
20200103,190 ,1,1,7696,342,805,948,218,775,10784,
20200103,190 ,1,2,46907,2858,2824,2109,2033,2239,58970,
20200103,253 ,0,1,10302,346,1082,840,221,162,12953,
20200103,253 ,0,2,70507,2670,1769,1808,2281,3790,82825,
20200103,253 ,1,1,9491,416,851,940,286,1130,13114,
20200103,253 ,1,2,68845,2837,1767,2148,2887,3873,82357,
20200103,254 ,0,1,5040,247,775,850,418,125,7455,
20200103,254 ,0,2,33678,1753,1258,1237,3012,2113,43051,
20200103,254 ,1,1,5245,232,688,804,285,629,7883,
20200103,254 ,1,2,32809,1476,1203,1029,2808,2058,41383,
20200103,651 ,0,1,5518,88,200,146,34,101,6087,
20200103,651 ,0,2,31139,677,1053,347,436,1610,35262,
20200103,651 ,1,1,4636,94,256,139,35,576,5736,
20200103,651 ,1,2,27471,666,1011,295,358,1596,31397,
20200103,685 ,0,1,3371,194,830,834,502,72,5803,
20200103,685 ,0,2,20362,1279,1592,1164,3754,1142,29293,
20200103,685 ,1,1,2900,249,745,737,465,339,5435,
20200103,685 ,1,2,19075,1309,1390,1085,3510,1036,27405,
20200104,101 ,0,1,12994,176,476,218,82,141,14087,
20200104,101 ,0,2,70282,1426,7661,923,554,2625,83471,
20200104,101 ,1,1,12355,271,421,470,85,1184,14786,
20200104,101 ,1,2,69179,1793,8015,1303,789,2716,83795,
20200104,190 ,0,1,9409,175,482,279,99,93,10537,
20200104,190 ,0,2,49718,1274,2138,622,963,1844,56559,
20200104,190 ,1,1,8402,175,363,467,116,744,10267,
20200104,190 ,1,2,46120,1401,2165,1051,1087,1818,53642,
20200104,253 ,0,1,11622,125,449,310,111,121,12738,
20200104,253 ,0,2,65710,1156,936,739,1144,2965,72650,
20200104,253 ,1,1,10786,178,422,454,131,1182,13153,
20200104,253 ,1,2,63661,1274,912,1022,1621,2932,71422,
20200104,254 ,0,1,5770,112,296,307,122,75,6682,
20200104,254 ,0,2,32767,730,898,511,1201,1684,37791,
20200104,254 ,1,1,6160,111,288,410,100,665,7734,
20200104,254 ,1,2,32877,748,867,547,1132,1730,37901,
20200104,651 ,0,1,7416,53,96,59,19,107,7750,
20200104,651 ,0,2,40076,418,1013,182,228,1602,43519,
20200104,651 ,1,1,5595,60,153,50,17,583,6458,
20200104,651 ,1,2,32028,391,1009,117,177,1389,35111,
20200104,685 ,0,1,4351,76,369,285,224,61,5366,
20200104,685 ,0,2,20776,447,1219,477,2128,917,25964,
20200104,685 ,1,1,3692,79,332,334,194,377,5008,
20200104,685 ,1,2,18620,477,1156,499,2138,860,23750,
20200105,101 ,0,1,11983,72,313,180,28,95,12671,
20200105,101 ,0,2,63068,781,6731,650,239,2392,73861,
20200105,101 ,1,1,11898,142,214,285,51,1049,13639,
20200105,101 ,1,2,63025,813,6962,1038,325,2419,74582,
20200105,190 ,0,1,7911,86,206,137,27,80,8447,
20200105,190 ,0,2,40587,724,2011,399,241,1600,45562,
20200105,190 ,1,1,8108,81,160,150,51,709,9259,
20200105,190 ,1,2,44104,586,1945,506,254,1540,48935,
20200105,253 ,0,1,10489,84,247,119,40,88,11067,
20200105,253 ,0,2,58513,656,666,350,399,2734,63318,
20200105,253 ,1,1,10094,104,136,162,55,1016,11567,
20200105,253 ,1,2,56128,526,657,406,432,2444,60593,
20200105,254 ,0,1,5537,54,119,132,45,58,5945,
20200105,254 ,0,2,29263,349,683,209,344,1470,32318,
20200105,254 ,1,1,5738,41,98,94,28,611,6610,
20200105,254 ,1,2,29447,256,685,172,309,1507,32376,
20200105,651 ,0,1,5027,23,56,25,4,72,5207,
20200105,651 ,0,2,25681,144,901,54,65,1132,27977,
20200105,651 ,1,1,6240,32,82,36,7,593,6990,
20200105,651 ,1,2,35994,208,872,72,61,1352,38559,
20200105,685 ,0,1,3759,33,106,125,61,50,4134,
20200105,685 ,0,2,17973,195,1083,187,684,798,20920,
20200105,685 ,1,1,3059,34,71,71,55,289,3579,
20200105,685 ,1,2,14796,192,1029,152,624,606,17399,
20200106,101 ,0,1,11058,267,773,512,146,192,12948,
20200106,101 ,0,2,71151,2358,8166,1552,911,3395,87533,
20200106,101 ,1,1,10170,326,592,656,154,1132,13030,
20200106,101 ,1,2,69266,2710,8635,1950,1242,3457,87260,
20200106,190 ,0,1,7243,327,1004,905,209,131,9819,
20200106,190 ,0,2,43970,2750,2752,1812,1661,2152,55097,
20200106,190 ,1,1,6849,300,740,728,164,679,9460,
20200106,190 ,1,2,41001,2715,2687,1701,1884,2069,52057,
20200106,253 ,0,1,9961,295,958,773,177,157,12321,
20200106,253 ,0,2,67901,2371,1854,2068,2069,3751,80014,
20200106,253 ,1,1,8771,332,795,721,229,1019,11867,
20200106,253 ,1,2,61587,2467,1954,2104,2643,3420,74175,
20200106,254 ,0,1,4672,204,684,793,309,108,6770,
20200106,254 ,0,2,32517,1645,1234,1191,3061,2083,41731,
20200106,254 ,1,1,4746,214,637,671,304,571,7143,
20200106,254 ,1,2,30847,1373,1099,800,2610,2018,38747,
20200106,651 ,0,1,4102,88,191,140,28,84,4633,
20200106,651 ,0,2,23254,615,998,301,336,1397,26901,
20200106,651 ,1,1,4074,109,254,144,23,433,5037,
20200106,651 ,1,2,24637,621,978,312,325,1482,28355,
20200106,685 ,0,1,3085,169,737,786,409,53,5239,
20200106,685 ,0,2,18930,1191,1541,1069,3597,1051,27379,
20200106,685 ,1,1,2659,217,712,638,374,284,4884,
20200106,685 ,1,2,16998,1274,1450,877,3355,986,24940,
20200107,101 ,0,1,9557,252,677,461,105,159,11211,
20200107,101 ,0,2,65088,2346,8005,1659,912,3117,81127,
20200107,101 ,1,1,9238,318,543,672,142,907,11820,
20200107,101 ,1,2,64243,2689,8423,2104,1124,3277,81860,
20200107,190 ,0,1,6107,265,923,713,134,112,8254,
20200107,190 ,0,2,36704,2639,2672,1717,1130,1899,46761,
20200107,190 ,1,1,5887,275,744,767,167,592,8432,
20200107,190 ,1,2,37191,2614,2645,1940,1323,1915,47628,
20200107,253 ,0,1,8515,254,919,719,184,132,10723,
20200107,253 ,0,2,58994,2264,1949,1999,1815,3370,70391,
20200107,253 ,1,1,8035,301,795,880,230,951,11192,
20200107,253 ,1,2,57787,2520,1985,2240,2337,3365,70234,
20200107,254 ,0,1,4006,226,721,732,296,80,6061,
20200107,254 ,0,2,29293,1496,1292,1130,2667,1938,37816,
20200107,254 ,1,1,4499,224,632,760,291,534,6940,
20200107,254 ,1,2,29582,1408,1180,967,2416,1922,37475,
20200107,651 ,0,1,3323,65,161,118,32,55,3754,
20200107,651 ,0,2,19671,569,907,324,357,1327,23155,
20200107,651 ,1,1,3392,89,218,133,23,384,4239,
20200107,651 ,1,2,21128,586,936,283,300,1382,24615,
20200107,685 ,0,1,2515,166,692,704,383,52,4512,
20200107,685 ,0,2,16609,1100,1471,1001,2856,934,23971,
20200107,685 ,1,1,2290,205,590,647,313,267,4312,
20200107,685 ,1,2,15566,1113,1324,938,2838,908,22687,
20200108,101 ,0,1,10226,279,732,493,120,174,12024,
20200108,101 ,0,2,67307,2394,8044,1672,877,3304,83598,
20200108,101 ,1,1,10056,352,629,700,134,1069,12940,
20200108,101 ,1,2,68467,2764,8510,2151,1126,3382,86400,
20200108,190 ,0,1,6206,335,897,672,151,134,8395,
20200108,190 ,0,2,39362,2703,2687,1718,1282,2003,49755,
20200108,190 ,1,1,5886,309,689,736,159,614,8393,
20200108,190 ,1,2,37963,2692,2632,1843,1521,2017,48668,
20200108,253 ,0,1,9309,264,960,726,188,168,11615,
20200108,253 ,0,2,63796,2471,1902,1995,1948,3658,75770,
20200108,253 ,1,1,8280,308,783,802,273,1034,11480,
20200108,253 ,1,2,61219,2617,1939,2323,2343,3614,74055,
20200108,254 ,0,1,4401,220,720,762,317,94,6514,
20200108,254 ,0,2,30720,1673,1261,1160,2809,1988,39611,
20200108,254 ,1,1,4794,226,646,691,300,580,7237,
20200108,254 ,1,2,31112,1479,1184,967,2411,2045,39198,
20200108,651 ,0,1,3806,78,175,126,40,76,4301,
20200108,651 ,0,2,21333,590,956,336,363,1406,24984,
20200108,651 ,1,1,3500,84,236,120,25,414,4379,
20200108,651 ,1,2,21189,605,938,278,305,1435,24750,
20200108,685 ,0,1,2788,204,762,737,388,56,4935,
20200108,685 ,0,2,17752,1206,1535,1077,3467,1006,26043,
20200108,685 ,1,1,2280,217,675,684,311,239,4406,
20200108,685 ,1,2,16511,1247,1405,930,3282,967,24342,
20200109,101 ,0,1,10725,284,880,528,117,184,12718,
20200109,101 ,0,2,71506,2585,8291,1720,911,3308,88321,
20200109,101 ,1,1,10032,341,669,837,168,1002,13049,
20200109,101 ,1,2,38936,2759,1684,2066,1299,2134,48878,
20200109,190 ,0,1,7064,324,1009,805,166,134,9502,
20200109,190 ,0,2,42210,2910,2883,1896,1598,2053,53550,
